Name,Corridor,Description,Kommune,Location,Price Range,Source,Type
Mandal Hotel,E39 West Coast,"Hotel in Mandal, near golf course. Restaurant on site.",Lindesnes,Mandal Hotel,1000–1800 NOK/night,http://Hotels.com,Hotel
Dølen Hotel,Rv 9 Setesdal,Historic hotel since 1897. By Otra River.,Evje og Hornnes,Dølen Hotel,900–1500 NOK/night,Cruise Sørlandet,Hotel
Rosfjord Strandhotell,E39 West Coast,Beach hotel near Lindesnes Lighthouse.,Lyngdal,Rosfjord Strandhotell,1200–2200 NOK/night,TripAdvisor,Hotel
Korshamn Rorbuer,E39 West Coast,Traditional fisherman cabins near Lindesnes Lighthouse.,Lindesnes,Korshamn Rorbuer,800–1500 NOK/night,TripAdvisor,Cabin
Lindesnes Havhotell,E39 West Coast,"4-star beachfront hotel. Kayaking, snorkelling, hiking.",Lindesnes,Lindesnes Havhotell,1500–2500 NOK/night,Expedia / TripAdvisor,Hotel
Farsund Resort,E39 West Coast,Resort in Farsund area.,Farsund,Farsund Resort,1000–1800 NOK/night,http://Booking.com,Hotel
Heddan Gard Gjestegard,Rv 41/42 Inland,"Historic farm guesthouse with rooms, cabins, restaurant serving local food, and a farm museum — open year-round by booking.",Hægebostad,Heddan Gard Gjestegard,$$,"http://heddan-gard.no, Expedia",Farm Stay
Perlå i Agder,Rv 41/42 Inland,"Small, charming cabin with three terraces, swimming pool, and nearby bakery with farm sales.",Hægebostad,Perlå i Agder,$$,"Airbnb (4.92 ★, 12 reviews)",Airbnb
Large Family Cabin with Sauna,Rv 41/42 Inland,"Spacious mountain cabin with 4 bedrooms, 2 living rooms, wood-fired sauna, fire pit, and WiFi — sleeps 11.",Hægebostad,Large Family Cabin,$$,"Airbnb (4.9 ★, 73 reviews)",Airbnb
"Charming cabin at Bjennvann, Naglestad",Rv 41/42 Inland,"Year-round cabin with terrace, beach access, swimming raft, and canoe — sleeps 6 adults.",Hægebostad,Charming cabin at Bjennvann,$$,"Airbnb (4.84 ★, 31 reviews)",Airbnb
Hønsehus Nedre Snartemo Gard,Rv 41/42 Inland,Charming mini-cabin on a historic Iron Age farm near the famous Snartemo sword find — riverside setting.,Hægebostad,Hønsehus Nedre Snartemo Gard,$,"Airbnb (4.95 ★, 83 reviews)",Airbnb
Evje-Kilefjorden Camping,Rv 9 Setesdal,Lakeside campsite at Kilefjorden with pitches and cabins in quiet natural surroundings near Evje.,Evje og Hornnes,Evje-Kilefjorden Camping,$,TripAdvisor,Camping
Thon Hotel Parken,Kristiansand,"Central hotel with 184 rooms in Kirkegata, next to Kristiansand Cathedral.",Kristiansand,Thon Hotel Parken,$$$,"Thon Hotels, TripAdvisor",Hotel
Longerak Hyttesenter og Camping,Rv 9 Setesdal,Campsite and cabin park along the Byglandsfjord with waterfront pitches and hiking access.,Bygland,Longerak Hyttesenter,$,TripAdvisor,Camping
Valle Motell og Camping,Rv 9 Setesdal,"Central motel and campsite in Valle with café, pub, bike rentals, and concerts — gateway to Setesdalsheiene.",Valle,Valle Motell og Camping,$,TripAdvisor,Camping
Hagen Guesthouse,Rv 9 Setesdal,Peaceful guesthouse surrounded by forest and farm animals — ideal base for hiking near Vennesla.,Vennesla,Hagen,$$,TripAdvisor (4.7★),Cabin
Ose Turistheim,Rv 9 Setesdal,"Simple, welcoming guesthouse and café in the village of Ose, a popular stop along the Setesdal valley.",Bygland,Ose Turistheim,$,"TripAdvisor, Visit Sørlandet",Hostel
Boen Gård,Kristiansand,"Countryside farm guesthouse near Kristiansand with acclaimed restaurant, garden views, and rural charm.",Kristiansand,Boen Gård,$$$,"http://Booking.com, Visit Sørlandet",Farm Stay
TrollAktiv Adventure Accommodation,Rv 9 Setesdal,"Riverside cabins at Southern Norway's biggest adventure centre offering rafting, climbing, and kayaking.",Evje og Hornnes,TrollAktiv,$$,"TrollAktiv, Visit Sørlandet",Cabin
Kristiansand Feriesenter Dvergsnestangen,Kristiansand,"Top-rated 5-star campsite by the sea with cabins, pitches for motorhomes and caravans, and beach access.",Kristiansand,Kristiansand Feriesenter,$$,"TripAdvisor, http://Booking.com",Camping
Vertikalen Hotell og Spiseri,E18 East Coast,Boutique hotel with restaurant in central Lillesand.,Lillesand,Vertikalen Hotell og Spiseri,$$,"TripAdvisor, trivago",Hotel
Arendal Herregaard Spa & Resort,E18 East Coast,Spa resort on Tromøy island near Hove beach and Raet National Park.,Arendal,Arendal Herregaard Spa & Resort,$$$,"http://arendalherregaard.no, http://Booking.com",Hotel
Topcamp Bie,E18 East Coast,Family campsite with pool and bistro near Grimstad centre.,Grimstad,Topcamp Bie,$–$$,"http://topcamp.no, TripAdvisor",Camping
Marivold Camping,E18 East Coast,Seaside camping with 16 cabins south of Grimstad.,Grimstad,Marivold Camping,$–$$,http://marivold.no,Camping
Tingsaker Familiecamping,E18 East Coast,"Family seaside campsite with cabins, walking distance to Lillesand centre.",Lillesand,Tingsaker Familiecamping,$–$$,"http://tingsakercamping.no, TripAdvisor",Camping
Strand Hotel Fevik,E18 East Coast,"Classic coastal hotel in Fevik, part of Classic Norway Hotels.",Grimstad,Strand Hotel Fevik,$$$,"http://Booking.com, TripAdvisor",Hotel
Hovden Fjellstoge,Rv 9 Setesdal,Historic mountain lodge with restaurant near Hovden ski resort.,Bykle,Hovden Fjellstoge,$$,"http://hovden.com, TripAdvisor",Hotel
Raet Camping,E18 East Coast,Camping near Raet National Park with beach access.,Arendal,Raet Camping,$,"http://Hotels.com, TripAdvisor",Camping
Nidelv Camping,E18 East Coast,Riverside camping with cabins and apartments west of Arendal.,Arendal,Nidelv Camping,$–$$,http://nidelvcamping.no,Camping
Hegni Hyttegrend,Rv 9 Setesdal,Cabin park by Lake Hartevatn at Hovden with playground and beach.,Bykle,Hegni Hyttegrend,$$,"http://hovden.com, JetCamp",Cabin
Hotel Lyngørporten,E18 East Coast,Charming hotel near the idyllic Lyngør archipelago.,Tvedestrand,Hotel Lyngørporten,$$–$$$,"TripAdvisor, http://Hotels.com",Hotel
Tvedestrand Fjordhotell,E18 East Coast,Waterfront boutique hotel in Tvedestrand centre with fjord panorama.,Tvedestrand,Tvedestrand Fjordhotell,$$,"http://Booking.com, TripAdvisor",Hotel
Sjøverstø Feriested,E18 East Coast,Holiday resort with cabins on the coast east of Tvedestrand.,Tvedestrand,Sjøverstø Feriested,$–$$,"TripAdvisor, Visit Sørlandet",Camping
Grimstad: Charming and Super-Central,E18 East Coast,"Charming 1870s Sørland house in Grimstad centre, 7 beds, sunny patio.",Grimstad,"Charming central house, Grimstad",$$,"Airbnb (4.91★, 68 reviews)",Airbnb
"Hyggelig leilighet med sjøutsikt, Lillesand",E18 East Coast,"Cosy apartment with sea views, a stone's throw from Lillesand centre.",Lillesand,"Leilighet med sjøutsikt, Lillesand",$–$$,Airbnb,Airbnb
"Hytte ved sjøen, sentralt og usjenert, Lillesand",E18 East Coast,"Seaside cabin with ocean view, 2 bedrooms, centrally located in Lillesand.",Lillesand,"Sjøhytte, Lillesand",$$,Airbnb,Airbnb
"Fin hytte i naturskjønne omgivelser, Bykle",Rv 9 Setesdal,"Scenic cabin with 4 bedrooms, EV charger, groomed ski slopes nearby.",Bykle,"Naturskjønn hytte, Bykle",$$,"Airbnb (4.99★, 84 reviews)",Airbnb
"Luxury Treetop Cabin with Sauna, near Grimstad",E18 East Coast,"Exclusive treetop cabin in nature with sauna, canoes and fishing.",Grimstad,"Treetop cabin, Harkmark",$$–$$$,"Airbnb (4.98★, 130 reviews)",Airbnb
"Sunny, Central and Charming Cottage on Hovden",Rv 9 Setesdal,"Central Hovden cabin, 600 m to centre, 8 beds, PS5, new interior.",Bykle,"Sunny cottage, Hovden",$$,"Airbnb (5.0★, 25 reviews)",Airbnb
"Nytt laftet tømmerhus med fantastisk utsikt, Lillesand",E18 East Coast,New log house with panoramic views over the boat channel from Homborøya.,Lillesand,"Tømmerhus, Lillesand",$$–$$$,Airbnb,Airbnb
"Peaceful Accommodation on Hisøya, Arendal",E18 East Coast,Peaceful stay on Hisøya with short distance to beaches and city centre.,Arendal,"Hisøya accommodation, Arendal",$$,Airbnb,Airbnb
"Modern Cabin with Great Views and Location, Hovden",Rv 9 Setesdal,Modern cabin with large windows overlooking the alpine slope at Hovden.,Bykle,"Modern cabin, Hovden",$$,"Airbnb (4.9★, 79 reviews)",Airbnb
"Bombay Quarters, Grimstad",E18 East Coast,Charming apartment in Grimstad centre with private indoor swimming pool.,Grimstad,"Bombay Quarters, Grimstad",$$,"Airbnb (4.77★, 142 reviews)",Airbnb
"Lyngørsundet, Gjevingmyra Farm, Tvedestrand",E18 East Coast,"Farmhouse and boathouse near Lyngør with private jetty, boats and trampoline.",Tvedestrand,"Gjevingmyra Farm, Tvedestrand",$$,"Airbnb (4.86★, 103 reviews)",Airbnb
"Feriehus på Tromøya, Arendal",E18 East Coast,"Holiday home on Tromøy island with pool, near Raet National Park.",Arendal,"Feriehus, Tromøya",$$–$$$,Airbnb,Airbnb
"Family-Friendly Apartment on a Jetty, Tvedestrand",E18 East Coast,Spacious renovated apartment overlooking the jetty in Tvedestrand centre.,Tvedestrand,"Jetty apartment, Tvedestrand",$–$$,"Airbnb (4.88★, 69 reviews)",Airbnb
"Idyllic Cabin by the Water with Canoe and Kayak, Arendal",E18 East Coast,Idyllic waterside cabin by Nidelva with canoe and kayak included.,Arendal,"Cabin by Nidelva, Arendal",$$,"Airbnb (4.91★, 106 reviews)",Airbnb
"Boathouse by the Lake, Tvedestrand",E18 East Coast,Cosy waterfront boathouse with private jetty and kayaks.,Tvedestrand,"Boathouse, Tvedestrand",$$,"Airbnb (5.0★, 55 reviews)",Airbnb
Sjøhus Mandal,E39 West Coast,Charming coastal boathouse rental in Mandal harbour.,Lindesnes,Sjøhus Mandal,$$,Airbnb (4.8 ★),Airbnb
Feriehus Lyngdal,E39 West Coast,Holiday house near Rosfjord beach in Lyngdal.,Lyngdal,Feriehus Lyngdal,$$,Airbnb (4.8 ★),Airbnb
Det Lille Hotel,E18 East Coast,Boutique hotel in a restored historic customs house on Risør harbour.,Risør,Det Lille Hotel,$$$,"http://Booking.com, Visit Sørlandet",Hotel
Fjelltun Pensjonat,E39 West Coast,Guesthouse with comfortable rooms in central Lyngdal.,Lyngdal,Fjelltun Pensjonat,$$,http://Booking.com,Hotel
Sjøbod i Risør sentrum,E18 East Coast,Waterfront boathouse apartment in the heart of Risør's harbour.,Risør,Sjøbod i Risør sentrum,$$,Airbnb (5.0 ★),Airbnb
Sørlandet Feriesenter Risør,E18 East Coast,Family campsite with swimming pool and fjord access outside Risør.,Risør,Sørlandet Feriesenter Risør,$,"http://Booking.com, Google Maps",Camping
Risør Hotel,E18 East Coast,Central hotel near Risør's iconic white wooden town.,Risør,Risør Hotel,$$,http://Booking.com,Hotel
Camp Lyngdal,E39 West Coast,Family campsite with 13 apartments and 6 cabins near Lyngdal centre.,Lyngdal,Camp Lyngdal,$–$$,"http://Booking.com, Visit Sørlandet",Camping
Feriehus ved Risørfjorden,E18 East Coast,Seaside holiday home with panoramic fjord views near Risør.,Risør,Feriehus ved Risørfjorden,$$,Airbnb (4.9 ★),Airbnb
Lindesnes Camping og Hytteutleie,E39 West Coast,"Campsite near Lindesnes Fyr, Norway's southernmost point.",Lindesnes,Lindesnes Camping og Hytteutleie,$,"http://Booking.com, Google Maps",Camping
Grand Hotel Flekkefjord,E39 West Coast,Historic hotel in Flekkefjord town centre.,Flekkefjord,Grand Hotel Flekkefjord,$$,http://Booking.com,Hotel
Egenes Camping,E39 West Coast,"Lakeside campsite by Selura lake with cabins, near Flekkefjord.",Flekkefjord,Egenes Camping,$,"Google Maps, http://Booking.com",Camping
Maritim Fjordhotell Flekkefjord,E39 West Coast,Waterfront hotel in central Flekkefjord with fjord views.,Flekkefjord,Maritim Fjordhotell,$$,"http://Booking.com, Visit Sørlandet",Hotel
Olsby Leilighet Flekkefjord,E39 West Coast,City-view condo with panoramic sea views over Flekkefjord.,Flekkefjord,Olsby Leilighet,$$,Airbnb (5.0 ★),Airbnb
"Hus i Rauli, Flekkefjord",E39 West Coast,Spacious house in scenic Rauli with spectacular fjord views.,Flekkefjord,Hus i Rauli,$$,Airbnb (4.9 ★),Airbnb
ListaLy Feriehus,E39 West Coast,Rural house near Lista Fyr and top surf spots on Lista.,Farsund,ListaLy Feriehus,$$,Airbnb,Airbnb
Rederiet Hotel,E39 West Coast,Boutique hotel in a historic shipowner's building in Farsund harbour.,Farsund,Rederiet Hotel,$$$,"Visit Sørlandet, http://Booking.com",Hotel
Farsund Fjordhotell,E39 West Coast,Fjordside hotel in the centre of Farsund with harbour views.,Farsund,Farsund Fjordhotell,$$,"Visit Sørlandet, http://Booking.com",Hotel
Lomsesanden Familiecamping,E39 West Coast,Beachside campsite with cabins and glamping tents on Lista peninsula.,Farsund,Lomsesanden Familiecamping,$,"Google Maps, Visit Sørlandet",Camping
Fjellskår Hytte Laundal,E39 West Coast,Cabin rental in the Laundal nature area with hiking and climbing.,Farsund,Fjellskår Hytte Laundal,$,Lister Friluftsråd,Cabin
Sirdal Huskyfarm,Rv 41/42 Inland,"Husky farm offering tee-pee cabin, camping and mountain cabin stays.",Sirdal,Sirdal Huskyfarm,$,"http://sirdalhuskyfarm.no, Visit Sørlandet",Cabin
Haugen Hytteutleie og Camping,Rv 41/42 Inland,Campsite with cabin rentals in Sirdal valley.,Sirdal,Haugen Hytteutleie og Camping,$,"TripAdvisor (3.7 ★, 14 reviews)",Camping
Moderne fjellhytte Tjørhom,Rv 41/42 Inland,Modern mountain cabin in Tjørhom with fireplace and authentic mountain feel.,Sirdal,Moderne fjellhytte Tjørhom,$$,Airbnb (4.8 ★),Airbnb
Sageneset Feriesenter,Rv 41/42 Inland,Holiday centre with cabins by the lake in Sirdal.,Sirdal,Sageneset Feriesenter,$,"TripAdvisor (3.7 ★, 14 reviews)",Camping
Håvestøl Naturcamp,Rv 41/42 Inland,"Nature camp with small cabins, suspended tents, hammocks and barrel sauna.",Åseral,Håvestøl Naturcamp,$,"http://bortelid.nu, Visit Sørlandet",Glamping
Sirdalsvatnet Hotel,Rv 41/42 Inland,Lakeside hotel on Sirdalsvatnet with mountain views.,Sirdal,Sirdalsvatnet Hotel,$$,"Expedia (8.6/10, 11 reviews)",Hotel
Bortelid Camping og Hyttegrend,Rv 41/42 Inland,"Year-round campsite by Murtetjønn with cabins, near ski trails and alpine slopes.",Åseral,Bortelid Camping og Hyttegrend,$,"http://bortelid.no, Campcation",Camping
Fjellhytte Åseral,Rv 41/42 Inland,Simple mountain cabin with sauna in scenic Åseral.,Åseral,Fjellhytte Åseral,$,Airbnb (4.9 ★),Airbnb
Sirdal Høyfjellshotell,Rv 41/42 Inland,"Mountain ski hotel at Fidjeland with pool, sauna and free breakfast.",Sirdal,Sirdal Høyfjellshotell,$$,"Expedia (8.4/10), TripAdvisor (3.6 ★, 57 reviews)",Hotel
Hotell Eikerapen Gjestegard,Rv 41/42 Inland,Family hotel by Ørevatn with free breakfast — Norway's southernmost winter destination.,Åseral,Hotell Eikerapen Gjestegard,$$,"Expedia (9.2/10, 68 reviews), http://eikerapen-gjestegaard.no",Hotel
Hytte med utsikt Iveland,Rv 41/42 Inland,Cosy cabin with panoramic views and hiking trails in quiet Iveland.,Iveland,Hytte med utsikt Iveland,$,Airbnb,Airbnb
Vatnestrøm Kro og Motell,Rv 41/42 Inland,"Roadside inn and motel in Vatnestrøm, Iveland.",Iveland,Vatnestrøm Kro og Motell,$,"TripAdvisor, http://Booking.com",Hotel
Hytte med utsikt Froland,Rv 41/42 Inland,Secluded cabin with wonderful views and hiking trails in Froland.,Froland,Hytte med utsikt Froland,$,"Expedia (10/10, 1 review)",Airbnb
Frolands Verk Camping,Rv 41/42 Inland,Idyllic campsite in Frolands Verk next to a local swimming beach.,Froland,Frolands Verk Camping,$,"Campio, JetCamp",Camping
Iveland Tree Top Panorama,Rv 41/42 Inland,Two modern treetop cabins with outdoor hot tub and panoramic forest views.,Iveland,Iveland Tree Top Panorama,$$$,"http://ittp.no, Visit Sørlandet",Glamping
Viltgården Overnatting,Rv 41/42 Inland,Unique accommodation at a moose farm with nature experiences and dog training.,Iveland,Viltgården Overnatting,$,"http://viltgarden.no, Visit Sørlandet",Cabin
Riverside Bliss Cabin Vegårshei,Rv 41/42 Inland,Cosy riverside cabin near Tvedestrand with WiFi and deck.,,Riverside Bliss Cabin,$,http://Booking.com (7.8/10),Airbnb
Sørlandets Bakhage,Rv 41/42 Inland,Countryside accommodation in scenic Birkenes.,,Sørlandets Bakhage,$,http://birkenes.kommune.no,Cabin
Hagestad Hytteutleie,Rv 41/42 Inland,Cabin rental in rural Birkenes.,,Hagestad Hytteutleie,$,http://birkenes.kommune.no,Cabin
Vegårtun Leirsted,Rv 41/42 Inland,"Camp site by lake Vegår with swimming, canoeing and year-round accommodation.",,Vegårtun Leirsted,$,"http://vegartun.no, Visit Norway",Camping
Pan Garden Hotel,Rv 41/42 Inland,"Hotel with restaurant, camping and activities surrounded by nature in Åmli.",,Pan Garden Hotel,$$,"http://pangarden.no, Visit Sørlandet",Hotel
Luksuriøst uthus med spa Gjerstad,Rv 41/42 Inland,"Luxury outbuilding with spa shower and bathtub, styled like a hotel suite.",,Luksuriøst uthus med spa,$$,Airbnb,Airbnb
Sigridnes Naturcamp,Rv 41/42 Inland,Campsite along river Nidelva with free boats and canoes.,,Sigridnes Naturcamp,$,MT Campings Norway,Camping
Hytte i Åmli,Rv 41/42 Inland,Cosy cabin with stunning views and hiking trails in Åmli.,,Hytte i Åmli,$,Expedia,Airbnb
Trehyttene Gjerstad,Rv 41/42 Inland,Unique tree cabins and floating cabins for an unforgettable nature experience.,,Trehyttene Gjerstad,$$,http://trehyttene.no,Glamping
Camp Flakksvann,Rv 41/42 Inland,Luxurious lavvu tents by lake Flakksvann with waterfalls and salmon fishing.,,Camp Flakksvann,$$,"Visit Norway, TripAdvisor (4.5 ★, 10 reviews)",Glamping
